Probe_Set_ID	Lsmean_ A _expanding	Lsmean_ A_fullexpand	Lsmean_A_primordia	Lsmean_ E_expanding	Lsmean_ E_fullexpand	Lsmean_E_primordia
245198_at	3.710612	3.566528	2.664063	3.622884	3.419434	2.835205
245199_at	2.612305	2.035767	3.210938	2.380046	1.931152	3.022217
245200_at	-0.5459	-0.50867	-0.66309	-0.01546	-0.03394	-0.75293
245201_at	1.431315	1.946411	0.123779	1.360514	1.514648	-0.0332
245202_at	-0.77962	-0.66516	-1.17651	-0.77132	-0.58813	-0.89258
245206_at	-0.99023	-0.97449	-0.34863	-1.11084	-1.06055	-0.25488
245207_at	0.570964	0.786987	0.725342	0.613118	0.558105	0.554199
245210_at	-1.38639	-1.22986	-1.58032	-1.33512	-1.39209	-1.34912
245211_at	0.880208	0.842651	0.374512	0.803874	0.684814	0.418945
245213_at	5.100586	5.087036	4.56543	4.992025	4.910156	4.520264
245215_at	0.563151	-0.19983	1.88916	0.406087	-0.59814	1.794189
245216_at	0.860026	0.793335	0.644043	0.840658	0.863281	0.653809
245218_s_at	0.785807	0.70105	0.001953	1.021973	0.722656	0.080322
245219_at	2.881185	2.837524	2.080566	2.94515	2.928711	2.16333
245227_s_at	-2.27441	-2.57898	-2.08008	-2.46012	-2.52588	-2.00854
245229_at	0.366536	0.536743	-0.0249	0.363444	0.567871	0.05127
245230_at	-2.69043	-2.60046	-2.55347	-2.65804	-2.86377	-2.77051
245231_at	-1.94661	-2.23279	-1.63135	-2.07959	-2.71973	-1.6311
245235_at	1.176758	1.060181	1.605957	1.042806	1.070801	1.782959
245237_at	-2.17383	-2.06775	-2.02417	-2.15609	-2.15381	-1.85718
245238_at	2.213867	2.577271	1.78418	2.424967	2.496582	1.720947
245242_at	0.684245	0.925415	0.140381	0.678548	0.55542	0.218506
245244_at	-1.66699	-1.09973	-2.27905	-1.48454	-0.74756	-1.99609
245248_at	-0.16471	-0.31848	-0.1687	-0.03564	-0.18555	-0.04932
245249_at	1.013997	1.216431	1.39502	0.992676	1.388672	1.353271
245251_at	-0.76367	-0.74866	-0.59448	-0.79215	-0.75415	-0.55127
245253_at	0.527018	1.079224	-0.38086	0.590983	1.146484	-0.25098
245254_at	0.963216	1.061646	-0.05713	0.931478	1.354492	0.248535
