Probe_Set_ID	percentchangeco2_fullexpand.x
259180_at	-29.24719593
253109_at	-29.18752695
250696_at	-29.15147365
251982_at	-29.05560848
256613_at	-28.83934967
263438_at	-28.81534646
261165_at	-28.7427449
263677_at	-28.74271688
262370_at	-28.65821385
263319_at	-28.63417182
255899_at	-28.56173474
250233_at	-28.56165865
267555_at	-28.52549143
264673_at	-28.47695546
260879_at	-28.42829627
261836_at	-28.40412947
252254_at	-28.39277159
253331_at	-28.33156474
249008_at	-28.30736322
256960_at	-28.23470814
265986_at	-28.2346868
258213_at	-28.12497256
255032_at	-28.11328381
267029_at	-28.11272059
258949_at	-28.10077852
251899_at	-28.07628363
258511_at	-28.02775611
248420_at	-27.95460335
256237_at	-27.91804479
247816_at	-27.84481142
246483_at	-27.84461374
256441_at	-27.74706173
263755_at	-27.66143572
257651_at	-27.6491868
255549_at	-27.6122699
259768_at	-27.52668511
262200_at	-27.416204
266905_at	-27.35474556
251306_at	-27.33013378
265729_at	-27.29340292
249002_at	-27.26866679
263628_at	-27.23171269
248718_at	-27.12076835
246505_at	-27.07130752
258086_at	-27.05909875
253973_at	-26.99737719
252954_at	-26.99733407
259022_at	-26.95995684
261159_s_at	-26.95487733
266087_at	-26.93561652
248285_at	-26.84897269
246234_at	-26.84896212
261338_at	-26.81184849
262738_at	-26.78699309
266715_at	-26.7187901
262225_at	-26.68786143
248814_at	-26.65047385
248656_at	-26.63820606
261597_at	-26.63796615
262151_at	-26.58854181
248679_at	-26.48907852
253305_at	-26.43929975
266324_at	-26.21492786
265706_at	-26.13995001
248465_at	-26.13972814
246651_at	-26.08992153
249818_at	-26.03983935
246231_at	-26.02734365
261223_at	-25.96502139
261660_at	-25.93972751
259999_at	-25.92751311
264930_at	-25.92713751
249610_at	-25.91459838
253871_at	-25.88953885
266215_at	-25.8895247
245201_at	-25.8644654
254218_at	-25.85197328
258691_at	-25.82670292
257879_at	-25.80153083
260375_at	-25.78918283
258300_at	-25.77645957
248402_at	-25.7640674
251775_s_at	-25.68862648
251415_at	-25.67594104
259903_at	-25.62548994
250879_at	-25.6007162
254817_at	-25.60020402
256728_at	-25.58791106
256089_at	-25.5630735
258156_at	-25.53754047
256021_at	-25.52496149
261255_at	-25.51248187
258355_at	-25.46193666
258333_at	-25.41146273
255232_at	-25.38608123
255878_at	-25.37373217
247069_at	-25.31042472
267262_at	-25.31035996
254427_at	-25.29781294
255817_at	-25.25966268
251546_at	-25.24740241
254448_at	-25.10795686
248287_at	-25.10786837
250732_at	-25.08268128
264987_at	-25.08261527
251669_at	-25.07027519
247826_at	-25.05726301
254561_at	-25.00648162
245793_at	-24.90484014
260548_at	-24.80308122
