Probe_Set_ID	value
247161_at	1
255540_at	1
258072_at	1
257313_at	1
255403_at	1
253736_at	1
267376_at	1
262913_at	1
255319_at	1
257151_at	1
265384_at	1
265194_at	1
251445_at	1
249178_at	1
260879_at	1
256035_at	1
248608_at	1
263847_at	1
260867_at	1
253871_at	1
257832_at	1
258511_at	1
247069_at	1
252047_at	1
264250_at	1
254239_at	1
266977_at	1
258086_at	1
250470_at	1
255595_at	1
257657_at	1
251386_at	1
261650_at	1
263629_at	1
245683_at	1
260236_at	1
250738_at	1
265352_at	1
258011_at	1
258499_at	1
249078_at	1
260967_at	1
253196_at	1
247405_at	1
259228_at	1
267355_at	1
257708_at	1
266414_at	1
251594_at	1
252391_at	1
255714_at	1
266533_s_at	1
258555_at	1
267023_at	1
255524_at	1
250262_at	1
250480_at	1
258015_at	1
263841_at	1
251673_at	1
245211_at	1
261458_at	1
255779_at	1
267301_at	1
251855_at	1
245731_at	1
248676_at	1
251881_at	1
253088_at	1
262830_at	1
257749_at	1
253828_at	1
253687_at	1
260281_at	1
257621_at	1
266604_at	1
256585_at	1
257985_at	1
248465_at	1
261934_at	1
253966_at	1
257171_at	1
262571_at	1
254559_at	1
249183_at	1
256922_at	1
264355_at	1
246849_at	1
256151_at	1
255767_at	1
257587_at	1
265312_at	1
260590_at	1
258333_at	1
266899_at	1
266904_at	1
245712_at	1
259588_at	1
266303_at	1
256441_at	1
266929_at	1
250301_at	1
251791_at	1
246428_at	1
265377_at	1
262464_at	1
254957_at	1
252548_at	1
248402_at	1
253109_at	1
267392_at	1
246651_at	1
257406_at	1
259395_at	1
266311_at	1
255966_at	1
264673_at	1
249918_at	1
261230_at	1
261685_at	1
253464_at	1
248512_at	1
259507_at	1
256835_at	1
261279_at	1
265116_at	1
248191_at	1
251308_at	1
263876_at	1
255596_at	1
259130_at	1
255232_at	1
259511_at	1
245899_at	1
265319_at	1
255829_at	1
246143_at	1
253646_at	1
252126_at	1
266078_at	1
249008_at	1
267256_s_at	1
256997_at	1
261583_at	1
267468_at	1
262161_at	1
248983_at	1
255512_at	1
248476_at	1
247464_at	1
255116_at	1
266735_at	1
254343_at	1
255967_at	1
251113_at	1
AFFX-Athal-Actin_3_f_at	1
260821_at	1
259551_at	1
258000_at	1
249818_at	1
256613_at	1
260675_at	1
260418_s_at	1
257844_at	1
261293_at	1
253405_at	1
258788_at	1
247816_at	1
261975_at	1
254616_at	1
259180_at	1
245373_s_at	1
257865_at	1
253255_at	1
247216_at	1
255012_at	1
247367_at	1
263274_at	1
257746_at	1
247153_at	1
253585_at	1
AFFX-Athal-GAPDH_3_s_at	1
246508_at	1
266261_at	1
266137_at	1
245196_at	1
258133_at	1
254388_at	1
264398_at	1
246125_at	1
259842_at	1
255709_at	1
261355_at	1
249958_at	1
261783_at	1
254221_at	1
252915_at	1
265212_at	1
248889_at	1
266461_at	1
247085_at	1
266617_at	1
264179_at	1
257339_s_at	1
248134_at	1
250185_at	1
245810_at	1
248814_at	1
259655_at	1
260027_at	1
266509_at	1
254321_at	1
257611_at	1
250017_at	1
248801_at	1
264851_at	1
263785_at	1
253428_at	1
265706_at	1
266482_at	1
250670_at	1
248283_at	1
248681_at	1
266097_at	1
266105_at	1
264488_s_at	1
261032_at	1
248409_at	1
251395_at	1
252754_at	1
249799_at	1
258742_at	1
250661_at	1
245336_at	1
256787_at	1
245635_at	1
250114_s_at	1
253973_at	1
258326_at	1
257206_at	1
267362_at	1
259308_at	1
258552_at	1
248332_at	1
248691_at	1
261933_at	1
246620_at	1
245792_at	1
249581_at	1
248085_at	1
249925_at	1
250307_at	1
262909_at	1
259983_at	1
245694_at	1
253739_at	1
267165_at	1
264570_at	1
260082_at	1
257654_at	1
260262_at	1
246899_at	1
254089_at	1
264351_at	1
261016_at	1
267364_at	1
246628_at	1
262820_at	1
261338_at	1
261081_at	1
258402_at	1
262932_at	1
260656_at	1
267472_at	1
267130_at	1
260347_at	1
255624_at	1
255230_at	1
246597_at	1
252975_s_at	1
247540_at	1
254020_at	1
264793_at	1
267092_at	1
267238_at	1
255243_at	1
252106_at	1
253579_at	1
265028_at	1
259903_at	1
255193_at	1
253237_at	1
245809_at	1
254776_at	1
255822_at	1
246005_at	1
252328_at	1
