"Probe_Set_ID"	"Transcript_ID_Array_Design_.x"	"Variance_Residual.x"	"SumVariance.x"	"SampleVariance.x"	"RSquare.x"	"F_T3_co2.x"	"F_T3_dev.x"	"F_T3_co2_dev.x"	"PrF_T3_co2.x"	"PrF_T3_dev.x"	"PrF_T3_co2_dev.x"	"Lsmean_co2_A.x"	"Lsmean_co2_E.x"	"Lsmean_dev_expanding.x"	"Lsmean_dev_fullexpand.x"	"Lsmean_dev_primordia.x"	"LinearLsmean_A_expanding.x"	"linearLsmean_A_fullexpand.x"	"linearLsmean_A_primordia.x"	"linearLsmean_E_expanding.x"	"linearLsmean_E_fullexpand.x"	"linearLsmean_E_primordia.x"	"percentage_A_PvX.x"	"percentage_A_PvE.x"	"percentage_A_EvX.x"	"percentage_E_PvX.x"	"percentage_E_PvE.x"	"percentage_E_EvX.x"	"neglog10pvalue_A_expanding_E_expanding.x"	"neglog10pvalue_A_fullexpand_E_fullexpand.x"	"neglog10pvalue_A_primordia_E_primordia.x"	"Cluster.x"	"Transcript_ID_Array_Design_.y"	"Variance_Residual.y"	"SumVariance.y"	"SampleVariance.y"	"RSquare.y"	"F_T3_co2.y"	"F_T3_dev.y"	"F_T3_co2_dev.y"	"PrF_T3_co2.y"	"PrF_T3_dev.y"	"PrF_T3_co2_dev.y"	"Lsmean_co2_A.y"	"Lsmean_co2_E.y"	"Lsmean_dev_expanding.y"	"Lsmean_dev_fullexpand.y"	"Lsmean_dev_primordia.y"	"LinearLsmean_A_expanding.y"	"linearLsmean_A_fullexpand.y"	"linearLsmean_A_primordia.y"	"linearLsmean_E_expanding.y"	"linearLsmean_E_fullexpand.y"	"linearLsmean_E_primordia.y"	"percentage_A_PvX.y"	"percentage_A_PvE.y"	"percentage_A_EvX.y"	"percentage_E_PvX.y"	"percentage_E_PvE.y"	"percentage_E_EvX.y"	"neglog10pvalue_A_expanding_E_expanding.y"	"neglog10pvalue_A_fullexpand_E_fullexpand.y"	"neglog10pvalue_A_primordia_E_primordia.y"	"Cluster.y"	"percentchangeco2_fullexpand.x"	"percentchangeco2_fullexpand.y"
"257017_at"	"At3g19620"	0.121233	0.121233	0.732846	0.87396	9.70855	48.8704	1.0287	0.0067	9.999e-05	0.3799	-2.11331	-2.58017	-1.75708	-1.91547	-3.36768	0.311657	0.325943	0.121527	0.280838	0.215593	0.07723	156.4504	168.2057	4.583844	263.6398	179.1576	-23.2324	0.218636	1.557875	1.763527	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-33.8556127911936	NA
"257024_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At3g19100"	0.030291	0.030291	0.10279	0.775478	3.54107	20.1165	5.80898	0.0782	9.999e-05	0.0127	0.381795	0.240858	0.206136	0.100525	0.627319	1.229313	1.237766	1.453766	1.082541	0.928716	1.641306	-15.4394	-14.8579	0.687668	-34.0439	-43.416	-14.2095	0.667341	2.40674	0.759163	1	NA	-24.9683704351226
"257033_at"	"At3g19170"	0.044294	0.044294	0.061779	0.453731	4.58428	2.6317	1.93458	0.048	0.1028	0.1768	3.116197	2.922282	3.163493	2.989563	2.904663	9.991062	8.8677	7.358415	8.035278	7.113532	7.620745	35.77737	20.51101	-11.2437	5.439541	-6.65569	-11.4712	1.064961	1.315087	0.1316	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-19.7815442561205	NA
"257037_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At3g19130"	0.019325	0.019325	0.338816	0.956543	2.10619	168.411	6.03218	0.166	9.999e-05	0.0112	1.115546	1.202365	0.767822	0.795105	1.91394	1.787838	1.529864	3.719271	1.621611	1.968105	3.818116	-51.9304	-58.8666	-14.4294	-57.5285	-48.4535	21.36724	0.633157	2.708845	0.151607	7	NA	28.6457489031705
"257038_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At3g19260"	0.013209	0.013209	0.216825	0.953584	0.19421	159.745	4.53731	0.6653	9.999e-05	0.0275	-0.1475	-0.12571	-0.05282	0.330872	-0.68787	0.944727	1.184086	0.657813	0.983775	1.336045	0.585816	43.61635	80.00338	25.33627	67.93233	128.0656	35.80805	0.265774	1.320642	1.249623	4	NA	12.833442841145
"257044_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At3g19720"	0.026088	0.026088	0.059334	0.665	1.89637	10.7785	4.19138	0.1874	0.0011	0.0344	0.796373	0.700656	0.884521	0.834778	0.526245	1.92865	1.988021	1.366225	1.767184	1.600168	1.51813	41.16633	45.51199	3.078397	16.40532	5.403882	-9.45098	0.452148	1.83909	0.695494	4	NA	-19.5095021632065
"257047_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At3g19570"	0.055854	0.055854	0.207501	0.794916	2.11432	25.3107	4.70925	0.1653	9.999e-05	0.0246	-1.47517	-1.62305	-1.31437	-2.04449	-1.28845	0.433355	0.285541	0.37608	0.373101	0.205789	0.445649	15.22949	-24.0743	-34.1092	-16.2791	-53.8226	-44.8436	0.553553	1.916165	0.789922	5	NA	-27.9301396296854
"257056_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At3g15350"	0.025018	0.025018	0.092758	0.794504	3.57079	25.5059	3.98489	0.0771	9.999e-05	0.0394	0.375285	0.503906	0.258545	0.774353	0.285889	1.083884	1.575315	1.278103	1.320312	1.857119	1.162937	-15.1958	23.25413	45.33972	13.53255	59.69211	40.65755	1.371647	1.303471	0.618223	3	NA	17.888739712375
"257088_at"	"At3g20510"	0.017263	0.017263	0.200416	0.934372	8.42654	106.235	3.71204	0.0104	9.999e-05	0.0474	0.739733	0.903863	0.768311	1.3255	0.371582	1.568885	2.260873	1.312737	1.849175	2.778143	1.275078	19.51254	72.22589	44.10696	45.02444	117.8802	50.23688	1.376946	2.252959	0.182205	4	"At3g20510"	0.017263	0.017263	0.200416	0.934372	8.42654	106.235	3.71204	0.0104	9.999e-05	0.0474	0.739733	0.903863	0.768311	1.3255	0.371582	1.568885	2.260873	1.312737	1.849175	2.778143	1.275078	19.51254	72.22589	44.10696	45.02444	117.8802	50.23688	1.376946	2.252959	0.182205	4	22.8792152411922	22.8792152411922
"257093_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At3g20570"	0.058608	0.058608	1.638768	0.972751	3.37317	279.862	3.85859	0.0849	9.999e-05	0.0429	-1.06222	-1.25355	0.161051	-0.82599	-2.80872	1.156657	0.686414	0.138335	1.080832	0.463573	0.147249	736.1264	396.196	-40.6554	634.0162	214.8228	-57.1096	0.202442	2.352278	0.217581	4	NA	-32.4645184975831
